Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
8817;91-409/18;2018-06-21;2067-06-21;49;The company leases lands on a long-term perspective (up to 49 years)
8818;181-з;2008-10-17;2057-10-17;49;The company leases lands on a long-term perspective (up to 49 years)
8818;10940/49;2016-06-01;2065-06-01;49;
8819;209-з;2008-11-10;2057-11-10;49;The company leases lands on a long-term perspective (up to 49 years)
8819;740/645;2009-11-24;2058-11-24;49;
8820;210-з;2008-11-10;2057-11-10;49;The company leases lands on a long-term perspective (up to 49 years)
8820;740/646;2009-11-24;2058-11-24;49;
8821;243-з;2008-12-10;2057-12-10;49;The company leases lands on a long-term perspective (up to 49 years)
8821;740/643;2009-12-23;2058-12-23;49;
8822;244-з;2008-12-10;2057-12-10;49;The company leases lands on a long-term perspective (up to 49 years)
8822;740/644;2009-12-23;2058-12-23;49;
8839;;2018;2058;40;
8877;;2016;2115;99;The land was leased to Hoima Sugar In 2016 for 99 years by Solomon Iguru Gafabusa, king of the ancient kingdom of Bunyoro-Kitara. He said the leased area was ancestral land and not part of the protected forest.
9046;16;2007-08-20;2054-08-20;47;
9047;1;2007-11-01;2056-11-01;49;
9048;1-step;2008-06-30;2057-06-30;49;
9049;2;2007-11-01;2056-11-01;49;
9050;1-step;2008-06-30;2057-06-30;49;
9051;1;2007-11-01;2056-11-01;49;
9053;9;2007-11-01;2056-11-01;49;
9054;3;2008-04-02;2057-04-02;49;
9055;13;2007-09-10;2056-09-10;49;
9056;1;2009-06-22;2058-06-22;49;
9057;29;2010-02-08;2059-02-08;49;
9058;4;2007-08-29;2046-08-29;49;
9059;1-step;2008-06-30;2056-06-30;49;
9060;22;2007-11-01;2056-11-01;49;
9061;1-step;2008-06-30;2057-06-30;49;
9062;25;2007-11-01;2056-11-01;49;
9063;18;2007-08-06;2056-08-06;49;
9064;1;2008-06-30;2057-06-30;49;
9065;16;2007-11-01;2056-11-01;49;
9066;17;2007-11-01;2056-11-01;48;
9067;18;2007-11-01;2056-11-01;49;
9068;1-step;2008-06-30;2057-06-30;49;
9069;35;2015-03-10;2064-03-10;49;
9070;42;2018-12-13;2067-12-13;49;
9071;38;2017-06-09;2066-06-09;49;
9072;10;2007-11-01;2056-11-01;49;
9073;9;2007-11-01;2056-11-01;49;
9074;1-step;2008-06-30;2057-06-30;49;
9075;19;2007-11-01;2056-11-01;49;
9076;1-step;2008-06-30;2057-06-30;49;
9077;20;2007-11-01;2056-11-01;49;
9078;36;2017-06-09;2066-06-09;49;
