Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
3591;;2006-09-22;;50;
3597;;;;;The license for a company engaged in oil palm plantations is only valid for three years, starting from 2008 to 2011. So, this year the company has had to extend the permit because it has entered the third year since the issuance of the permit. (July 2011)
3604;77/HGU/BPN/04;2004-01-01;;;
3609;;;;32;
3609;;2006-11-21;;;"IJM PLANTATIONS BERHAD has entered into a Conditional Sale and Purchase Agreement to acquire 95 shares of Rp.1 million each (or 95% equity interest) in PT Primabahagia Permai (""PBP"") for a total cash consideration of Rp.95 million (about RM37,000)."
3610;;;;31;
3611;;;;11;Leasehold expiry: 2021, 2029, and 2049
3614;47/DPN.K/IL-46/VI/2007;2007;;;"Permitted Area (Izin Lokasi) No. 47/DPN.K/IL-46/VI/2007, dated 26 June 2007 for± 21,500ha.
Ijin Usaha Perkebunan/IUP (Plantation Operational Permit) No. 503/50/SK-DISBUN KUKAR /VIII/2007, dated 26 July 2007 for ± 21,500 ha.  In 2015, there two companies operating there (PT PMM and PT TJA). PT PMM, the company in this deal has 16,105.45 of the initial area as of 2015."
3618;HGU No 26.11.00.00.4.00007;2009-10-05;;;
3618;HGU No. 26.11.00.00.4.00008;;;;
3618;HGU No. 26.11.00.00.4.00009;;;;
3619;;2007-10-16;;99;Special Agriculture and Business License (SABL)
3620;;2007-10-17;;99;Special Agriculture and Business License (SABL)
3621;;2007-10-16;;99;
3622;;2007-10-17;;99;
3626;;2008-01-09;;99;SPECIAL AGRICULTURE AND BUSINESS LEASE
3639;;;2041-05-15;35;35 years lease expiring on 15.05.2041
3640;;2015;2045-02-18;35;
3641;;;2029-12-31;35;
3642;350/E5.719/09.1996;1996-09-13;2040-07-13;35;
3642;503/480/Eko.TU.P/XII/2006;2006-12-19;;35;
3643;;2005-12-29;2053-10-18;35;
3644;38/HGU/BPN RI/2011;2011-07-25;2041-10-15;30;expiration of lease at October 15, 2041 but GFW indicates 2046-07-25 as expiration
3646;;2010-01-01;2048-10-23;35;"Hak Guna Usaha (Right of Cultivation) for 7,170 hectares; some sources say that the concession was awarded in 2010 but the 2019 Annual Report of TSH indicates that there is a 35-year lease on the area expiring on 2048, which means the concession might have actually been awarded in 2013"
3646;;;2051-11-04;35;Hak Guna Usaha (Right of Cultivation) for 846 hectares
3652;;2008-07-09;;99;
3653;;2008-07-09;;99;
3654;;2008-07-09;;99;Reports state that the SABLs signed in 2008 involved flawed Land Investigation Reports, which did not accurately define the concessions’ boundaries (a proper survey to determine those boundaries was never conducted in the area) and collected fake signatures (the Land Investigation Reports included signatures with names of children and infants).
3655;;2008-07-14;;99;General Manager of BOPPL Kelvin Tan Keh Feng said when the agreement was signed in 2010, the company promised to clear the land, plant oil palm and build amenities. He also announced that in addition to planting oil palm, the company would also build sawmills, veneer processing plants, palm oil mills, refinery, Pelletizing Plant and Biomass Power Plants as downstream projects.
3657;;2008-08-14;;99;
3659;;2008-09-25;;99;
3664;;2009-02-18;;99;
3676;;2009-12-28;;25;
3679;;2009-04-02;;99;The grant is dated 2nd April 2009 and it was gazette on 1st April 2009 through National Gazette Issue No G58 of 2009.
3680;;2009-04-28;;99;Special Agriculture and Business Lease (SABL)
3683;;2009-10-30;;70;Recommended the lease is amended to 40 years and a developer with agricultural skills be engaged.
3687;;2009-12-10;;99;Last May 18, 2018, a report was published that the company's agreement was cancelled.
3706;;2010-02-26;;99;
3707;;2010-04-26;;99;"Special Agriculture and Business Lease (SABL) granted to the landowner companies. The SABL holders and their preferred development partner
Goldwell Resource Co. (PNG) Limited entered into a sublease agreement that was executed and registered on the day of the direct grant, 26 April 2010."
3708;;2010-09-24;;99;Special Agriculture and Business Lease to NEWIL is for 99 years but the land investigation report says that the customary landowners only are willing to free up their land for SABL purposes for only 25 years and not 99 years.
3709;;2010-10-15;;99;Special Agriculture and Business Lease (SABL) was granted to Wammy Limited, which then granted a sublease over the entire SABL (Portion 27C) to Global Elite Limited for sixty (60) years. It was approved by Mr Pepi Kimas for purposes of Section 128 and 129 of the Land Act 1996 and registered with the DLPP on 29th October 2010.
3711;;2011-03-14;;99;Special Agriculture and Business Lease (SABL) granted in 2011 was recommended to be revoked by the Commission of Inquiry in 2013.
3712;No.23 / HGU / BPN RI / 2011;2011-04-26;;30;"stated that all areas under PT.
UMW and PT TUM management are non-forest
area (Areal Penggunaan Lain - APL)"
3715;49IKPTS/BPM-PTP/201 I;2011-07-18;;4;Izin Lokasi (Location Permit) for oil palm and rubber
3719;;2010-01-01;2110-04-01;99;a 99-year State Lease over 5,992 ha in the town/Fourmil of Tufi, Section/Milinch Murua in Oro Province, expiring on 6 April 2110 (“Lot A”)
3747;;;;25;
3765;;2004;2029;25;The land for the pineapple plantation was registered and leased for 25 years in 2004 instead of the usual 50 years
3766;;;;49;
3768;;;;50;
3770;;2009-01-11;;50;There is an option of renewal for a further period of 25 years
3772;;2012-12-01;;50;
3773;;2000;;50;"Some of the leases were to expire in 2015/2016. Due to the lack of land title, there is no official lease. When the company signed the sale contract with the previous owner, the intention was to have a 50-year, renewable, lease from 2020.
1. A letter from the Western Regional Lands commission confirming NGL’s right of use of the lands it is
operating on (pending the renewal of the leases) has been obtained.
2. Subsequently the chiefs/landowners have signed an Memorandum of Understanding (MOU) with
NGL indicating their preparedness to renew all the expired leases for the company whilst NGL also
fulfils its part of the MOU"
3778;;;;50;
3783;;;;99;
