Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N
"154","North Macedonia","23083","FDI outflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.106688","Fc","Calculated",,,,,,,,,,,,
"154","North Macedonia","23083","FDI outflows to Agriculture, Forestry and Fishing","6142","Share of Total FDI outflows US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.461121","Fc","Calculated",,,,,,,,,,,,
"154","North Macedonia","23084","FDI outflows to Food, Beverages and Tobacco","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.400000","X","UNCTAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.320000","X","INTRACEN","1.240000","X","INTRACEN",,,,,,,,,
"154","North Macedonia","23084","FDI outflows to Food, Beverages and Tobacco","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.541093","Fc","Calculated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.250155","Fc","Calculated","1.147447","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23084","FDI outflows to Food, Beverages and Tobacco","6142","Share of Total FDI outflows US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127.029964","Fc","Calculated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.725462","Fc","Calculated","62.616113","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23085","Total FDI outflows","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,"0.073972","X","UNCTAD","0.010099","X","UNCTAD","0.302874","X","UNCTAD","-0.602800","X","UNCTAD","0.872200","X","UNCTAD","0.104500","X","UNCTAD","0.314886","X","UNCTAD","1.178348","X","UNCTAD","2.870218","X","UNCTAD","0.171864","X","UNCTAD","-1.200321","X","UNCTAD","-13.876295","X","UNCTAD","11.202443","X","UNCTAD","4.773225","X","UNCTAD","-0.294708","X","UNCTAD","-25.567459","X","UNCTAD","30.312770","X","UNCTAD","10.232089","X","UNCTAD","15.463220","X","UNCTAD","23.854907","X","UNCTAD","1.980321","X","UNCTAD","12.248899","X","UNCTAD","39.720333","X","UNCTAD","39.024231","X","UNCTAD"
"154","North Macedonia","23085","Total FDI outflows","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,"0.111530","Fc","Calculated","0.016357","Fc","Calculated","0.498864","Fc","Calculated","-1.063012","Fc","Calculated","1.516316","Fc","Calculated","0.170221","Fc","Calculated","0.425957","Fc","Calculated","1.452258","Fc","Calculated","3.363680","Fc","Calculated","0.193160","Fc","Calculated","-1.182198","Fc","Calculated","-12.126343","Fc","Calculated","10.281526","Fc","Calculated","4.525328","Fc","Calculated","-0.256313","Fc","Calculated","-23.837122","Fc","Calculated","26.203985","Fc","Calculated","8.726951","Fc","Calculated","15.463220","Fc","Calculated","23.136742","Fc","Calculated","1.832511","Fc","Calculated","10.424417","Fc","Calculated","34.822237","Fc","Calculated",,,
"162","Norway","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"927.650000","X","OECD",,,
"162","Norway","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940.231234","Fc","Calculated",,,
"162","Norway","23080","FDI inflows to Agriculture, Forestry and Fishing","6141","Share of Total FDI inflows US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.695512","Fc","Calculated",,,
